stim_id,condition,freq_category,word,subtlex_log10freq
125,nw,none,kabrieken,0
126,nw,none,zelijk,0
127,nw,none,sluinen,0
128,nw,none,kandola,0
129,nw,none,grantel,0
130,nw,none,bralat,0
131,nw,none,rogenten,0
132,nw,none,fradingo,0
133,nw,none,gefruld,0
134,nw,none,vrijk,0
135,nw,none,vlorken,0
136,nw,none,kumus,0
137,nw,none,smaan,0
138,nw,none,glaf,0
139,nw,none,stodeum,0
140,nw,none,murselein,0
141,nw,none,kimensie,0
142,nw,none,gardien,0
143,nw,none,rakot,0
144,nw,none,ant,0
145,nw,none,bezans,0
146,nw,none,gewunnen,0
147,nw,none,kuukt,0
148,nw,none,kadders,0
149,nw,none,leumen,0
150,nw,none,knaarde,0
151,nw,none,plirken,0
152,nw,none,grede,0
153,nw,none,entel,0
154,nw,none,gefaapt,0
155,nw,none,pals,0
156,nw,none,loedsels,0
157,nw,none,udel,0
158,nw,none,rufel,0
159,nw,none,rastel,0
160,nw,none,jaat,0
161,nw,none,gietsen,0
162,nw,none,gebeikt,0
163,nw,none,plond,0
164,nw,none,snoen,0
165,nw,none,tombel,0
166,nw,none,mijk,0
167,nw,none,pectars,0
168,nw,none,stiraal,0
169,nw,none,plin,0
170,nw,none,moksen,0
171,nw,none,glijp,0
172,nw,none,vlump,0
173,nw,none,klaap,0
174,nw,none,bluurde,0
175,nw,none,nergen,0
176,nw,none,kwarp,0
177,nw,none,rons,0
178,nw,none,gimmel,0
179,nw,none,monen,0
180,nw,none,kijs,0
181,nw,none,herken,0
182,nw,none,hormen,0
183,nw,none,zuun,0
184,nw,none,rieve,0
185,nw,none,drintels,0
186,nw,none,brad,0
187,nw,none,gevupt,0
188,nw,none,klaam,0
189,nw,none,trorg,0
190,nw,none,ploe,0
191,nw,none,darboen,0
192,nw,none,megen,0
193,nw,none,nef,0
194,nw,none,pruit,0
195,nw,none,pirrel,0
196,nw,none,rokan,0
197,nw,none,zerder,0
198,nw,none,snarpen,0
199,nw,none,spodiel,0
200,nw,none,fankel,0
